Timestamp,Pod1,Pod2,Pod3,Pod4,Pod5,Pod6,Pod7,Pod8
46:52.2,1,-4,-1,0,-1,-1,-1,1
46:52.2,5,5,-2,-1,3,0,1,0
46:52.2,0,-8,0,0,1,-1,-4,0
46:52.2,-14,3,-1,1,0,-2,-4,-3
46:52.2,-14,3,-1,1,0,-2,-4,-3
46:52.2,0,-10,2,2,-2,-1,0,4
46:52.3,0,-10,2,2,-2,-1,0,4
46:52.3,14,17,11,-2,0,-1,-3,0
46:52.3,-14,-25,-23,-1,-1,-1,0,-6
46:52.3,1,-10,5,0,-2,0,-3,0
46:52.3,4,17,5,1,1,0,0,5
46:52.3,4,17,5,1,1,0,0,5
46:52.3,-4,12,-4,1,1,1,2,-2
46:52.3,-16,-23,-9,-2,-1,-4,-7,-11
46:52.3,-16,-23,-9,-2,-1,-4,-7,-11
46:52.4,2,-5,-4,2,-2,-3,-4,4
46:52.4,10,18,4,1,-2,-3,-3,5
46:52.4,10,18,4,1,-2,-3,-3,5
46:52.4,-33,-9,-5,-4,-1,-2,-7,-9
46:52.4,-33,-9,-5,-4,-1,-2,-7,-9
46:52.4,31,51,7,-1,-6,-4,-6,0
46:52.4,-2,-35,-28,-1,1,-2,-3,1
46:52.4,-2,-35,-28,-1,1,-2,-3,1
46:52.4,-7,-17,-3,-2,-1,1,-3,1
46:52.5,-7,-17,-3,-2,-1,1,-3,1
46:52.5,10,6,5,0,0,-1,-4,4
46:52.5,6,-12,6,0,-1,-3,-4,3
46:52.5,6,-12,6,0,-1,-3,-4,3
46:52.5,6,-12,6,0,-1,-3,-4,3
46:52.5,1,-9,-1,-3,-5,-1,-2,5
46:52.5,1,-9,-1,-3,-5,-1,-2,5
46:52.5,5,-33,-6,-2,0,-3,-3,0
46:52.5,26,36,7,1,0,-2,-2,-3
46:52.6,26,36,7,1,0,-2,-2,-3
46:52.6,-40,-50,-21,-7,-2,-4,-3,-3
46:52.6,-40,-50,-21,-7,-2,-4,-3,-3
46:52.6,10,25,12,3,-1,0,-3,9
46:52.6,5,-2,-1,0,2,-2,-2,4
46:52.6,5,-2,-1,0,2,-2,-2,4
46:52.6,23,17,1,0,-2,-2,-3,6
46:52.6,23,17,1,0,-2,-2,-3,6
46:52.6,23,17,1,0,-2,-2,-3,6
46:52.7,-18,-3,1,-2,-3,-2,-9,-9
46:52.7,-18,-24,-9,-2,-6,-4,-3,-14
46:52.7,-18,-24,-9,-2,-6,-4,-3,-14
46:52.7,4,4,4,2,3,-3,-4,2
46:52.7,4,4,4,2,3,-3,-4,2
46:52.7,-12,-32,-14,-5,0,6,-12,-15
46:52.7,5,7,-5,2,-1,-32,1,4
46:52.7,5,7,-5,2,-1,-32,1,4
46:52.7,-1,5,2,-2,-3,-17,-4,1
46:52.8,-1,5,2,-2,-3,-17,-4,1
46:52.8,12,23,0,7,4,37,3,-1
46:52.8,12,23,0,7,4,37,3,-1
46:52.8,-30,-3,-4,3,-1,-1,-4,-3
46:52.8,-17,29,-1,-3,-4,2,-11,1
46:52.8,26,-29,-8,-9,-2,-4,-3,7
46:52.8,-8,-23,-2,-2,0,29,7,28
46:52.8,-10,17,-4,2,1,-10,-3,-3
46:52.8,-2,-30,-15,-1,-1,9,-6,-4
46:52.9,-2,-30,-15,-1,-1,9,-6,-4
46:52.9,-5,4,16,0,-1,-11,-12,2
46:52.9,-5,4,16,0,-1,-11,-12,2
46:52.9,23,53,19,5,0,1,10,12
46:52.9,-9,-23,-4,3,4,-4,-4,-1
46:52.9,-9,-23,-4,3,4,-4,-4,-1
46:52.9,-22,-62,-5,-6,-1,-16,2,1
46:52.9,-22,-62,-5,-6,-1,-16,2,1
46:52.9,-19,-24,-10,-2,0,3,8,11
46:53.0,8,4,-5,-2,-8,-41,-5,-6
46:53.0,24,21,-4,2,-3,-27,-10,-37
46:53.0,4,25,-2,2,2,17,13,6
46:53.0,1,41,-4,15,2,-9,-2,-16
46:53.0,1,41,-4,15,2,-9,-2,-16
46:53.0,11,34,3,1,-1,12,5,5
46:53.0,1,-52,-13,-3,-4,-11,-2,11
46:53.0,6,21,11,-5,1,9,-5,4
46:53.0,26,35,17,1,4,40,12,16
46:53.1,26,35,17,1,4,40,12,16
46:53.1,-16,-52,-11,-6,-1,-12,-7,-6
46:53.1,-16,-52,-11,-6,-1,-12,-7,-6
46:53.1,16,39,-4,-4,-6,-2,-4,-13
46:53.1,16,39,-4,-4,-6,-2,-4,-13
46:53.1,-53,-11,-16,-7,-5,17,4,-3
46:53.1,-53,-11,-16,-7,-5,17,4,-3
46:53.1,-7,-36,-3,-5,0,-21,-2,17
