Timestamp,Pod1,Pod2,Pod3,Pod4,Pod5,Pod6,Pod7,Pod8
2025-05-16 15:34:57.778,21,-1,-1,-2,-4,-5,-6,1
2025-05-16 15:34:57.793,-2,-2,-1,1,0,-3,-3,-2
2025-05-16 15:34:57.806,-5,-3,-1,-3,-1,0,4,0
2025-05-16 15:34:57.819,-3,-2,-2,0,0,-4,-13,-3
2025-05-16 15:34:57.839,-30,-2,1,-3,0,-3,-10,2
2025-05-16 15:34:57.853,2,-1,0,-1,0,6,19,1
2025-05-16 15:34:57.868,-5,-2,-2,-3,0,-3,0,-3
2025-05-16 15:34:57.881,2,-1,-1,-2,-2,-6,-8,-2
2025-05-16 15:34:57.896,2,-1,-1,-2,-2,-6,-8,-2
2025-05-16 15:34:57.918,2,-1,-1,-2,-2,-6,-8,-2
2025-05-16 15:34:57.931,4,-2,-2,0,0,-4,-7,5
2025-05-16 15:34:57.944,4,-2,-2,0,0,-4,-7,5
2025-05-16 15:34:57.958,1,-2,0,-1,-3,-6,-8,-3
2025-05-16 15:34:57.972,2,-3,-1,-1,1,-3,-5,-2
2025-05-16 15:34:57.986,2,-2,-2,-3,-1,-4,0,-2
2025-05-16 15:34:58.000,-4,-3,-1,-1,-1,2,3,3
2025-05-16 15:34:58.017,-4,-3,-1,-1,-1,2,3,3
2025-05-16 15:34:58.029,-4,-3,-1,-1,-1,2,3,3
2025-05-16 15:34:58.042,-1,0,0,0,-1,1,1,1
2025-05-16 15:34:58.053,-2,-1,-2,-2,-1,-5,-9,3
2025-05-16 15:34:58.072,3,-2,-1,-2,-1,-3,-3,-7
2025-05-16 15:34:58.087,4,-1,-1,-1,0,0,1,-5
2025-05-16 15:34:58.098,-7,-2,-1,0,-1,-3,-7,-1
2025-05-16 15:34:58.112,-4,-2,-2,-3,-2,0,0,-3
2025-05-16 15:34:58.125,4,-2,-2,-2,-2,1,1,-1
2025-05-16 15:34:58.139,4,-2,-2,-2,-2,1,1,-1
2025-05-16 15:34:58.153,-2,-3,1,-1,0,7,20,-3
2025-05-16 15:34:58.166,2,-1,-1,1,0,-1,-10,-2
2025-05-16 15:34:58.180,2,-1,-1,1,0,-1,-10,-2
2025-05-16 15:34:58.195,2,-2,-1,0,0,-4,-7,0
2025-05-16 15:34:58.208,-47,-3,-1,-3,0,-7,3,-1
2025-05-16 15:34:58.224,12,-1,0,-2,0,-4,-3,-3
2025-05-16 15:34:58.235,12,-1,0,-2,0,-4,-3,-3
2025-05-16 15:34:58.253,1,-3,-2,-2,0,0,-5,-2
2025-05-16 15:34:58.265,8,0,-3,-3,-2,-1,7,0
2025-05-16 15:34:58.277,8,0,-3,-3,-2,-1,7,0
